snapshot_week,cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-17,EPA3005,Extra,13603,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,FUTURE FORM 2,Extra,17961,0,0,0,0,0,6803,6803,2025-11,1.0,100.0,2025-11
2025-11-17,GRAFENO,Extra,4408,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-17,LAN0209,Extra,3199,0,0,0,0,0,1199,1199,2026-01,1.0,100.0,2026-01
2025-11-17,LAN0210,Extra,24583,0,0,0,0,449,0,449,2025-11,1.0,100.0,2025-11
2025-11-17,LAN0310,Extra,3778,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,LAN0710,Extra,4995,0,0,0,0,4995,0,4995,2025-12,1.0,100.0,2025-12
2025-11-17,LAN1010,Extra,7153,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,LAN1509,Extra,73561,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-17,LAN1908,Extra,2400,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,LAN2209,Extra,5061,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-17,LAN2410,Extra,57937,0,0,0,0,1590,3064,4654,2026-03,1.0,100.0,2026-03
2025-11-17,LAN2509,Extra,10210,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-17,LAN2609,Extra,1200,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,LANFUTUREFORM2,Extra,7552,3951,0,400,4701,350,0,350,2025-11,0.37751588983050843,37.8,2025-11
2025-11-17,NEXTECH,Extra,40014,0,0,0,0,25405,0,25405,2025-11,1.0,100.0,2025-11
2025-11-17,NP Casacos,Extra,3322,0,0,0,0,3322,0,3322,2025-11,1.0,100.0,2025-11
2025-11-17,REPLAN0509,Extra,9000,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-17,REPLAN2708,Extra,14998,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,THE PERFECT TOP - VARIAÇÕES,Extra,64918,0,0,0,0,3538,32020,35558,2025-12,1.0,100.0,2025-12
2025-11-17,THE PERFECT TOP - VARIA�ÕES,Extra,61380,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-17,UW FEMININA - NOVO DROP - Revisada,Extra,66346,0,0,0,0,8435,31513,39948,2025-12,1.0,100.0,2025-12
2025-11-17,Whateverproof / LifeProof,Extra,8642,0,0,0,0,7478,0,7478,2025-12,1.0,100.0,2025-12
2025-11-24,Alocação extra Adapt Fit,Extra,17600,250,0,0,250,0,6250,6250,2025-11,0.9857954545454546,98.6,2025-11
2025-11-24,BOLD 2 - Revisada,Extra,84506,0,0,0,0,23925,0,23925,2026-01,1.0,100.0,2026-01
2025-11-24,C012026B,Base,394640,5417,0,1597,8056,97689,152179,249868,2026-01,0.9795864585444962,98.0,2026-01
2025-11-24,C022026,Base,361086,2042,0,4113,16730,32909,13042,43899,2026-02,0.9536675473432922,95.4,2026-02
2025-11-24,C032026,Base,299397,0,0,4033,6161,0,23500,23500,2026-03,0.9794219714960404,97.9,2026-03
2025-11-24,C112025,Base,709871,2498,0,1968,9800,80699,231435,312134,2025-11,0.9861946748071129,98.6,2025-11
2025-11-24,C122025,Base,536059,2502,0,7384,13185,99775,219582,319357,2025-12,0.9754038268175704,97.5,2025-12
2025-11-24,Café lab,Extra,16091,0,0,0,0,2503,850,3353,2025-11,1.0,100.0,2025-11
2025-11-24,EPA0309,Extra,7860,0,0,0,0,2000,856,2856,2025-12,1.0,100.0,2025-12
2025-11-24,EPA0711,Extra,37397,12496,0,0,12496,0,0,0,2026-01,0.6658555499104206,66.6,2026-01
2025-11-24,EPA08TPT,Extra,29998,0,0,0,0,0,9999,9999,2025-11,1.0,100.0,2025-11
2025-11-24,EPA1011,Extra,16747,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-24,EPA1111,Extra,3476,0,0,452,766,0,0,0,2025-12,0.7796317606444189,78.0,2025-12
2025-11-24,EPA1209,Extra,2368,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-24,EPA1308,Extra,628,0,0,0,0,0,628,628,2025-11,1.0,100.0,2025-11
2025-11-24,EPA1311,Extra,400,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-24,EPA1411,Extra,3460,0,0,0,0,0,3460,3460,2025-12,1.0,100.0,2025-12
2025-11-24,EPA1510,Extra,17749,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-24,EPA1609,Extra,12599,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-24,EPA1711,Extra,335,0,0,0,0,0,335,335,2025-12,1.0,100.0,2025-12
2025-11-24,EPA1811,Extra,12056,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-24,EPA1908,Extra,1092,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-24,EPA2010,Extra,437,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-24,EPA2111,Extra,12112,0,0,0,0,0,639,639,2026-01,1.0,100.0,2026-01
2025-11-24,EPA2411,Extra,11499,0,0,0,0,0,1500,1500,2025-12,1.0,100.0,2025-12
2025-11-24,EPA2511,Extra,7999,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-24,EPA2609,Extra,12604,0,0,0,0,0,12604,12604,2025-11,1.0,100.0,2025-11
2025-11-24,EPA2706,Extra,75678,0,0,0,0,64608,5153,69761,2025-11,1.0,100.0,2025-11
2025-11-24,EPA2710,Extra,9,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
