cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,n_ops,n_skus,baseline_date,kr1,kr1_pct,pct_int_date,pct_int_cancel,pct_int_grade,mes_alvo
EPA03_IS0403,Extra,4710,856,0,1285,1913,514,0,514,14,21,2026-03-07,0.5938428874734607,59.4,18.2,0.0,27.3,2026-05
INS-0903,Extra,2559,0,0,0,0,549,0,549,7,6,2026-04-14,1.0,100.0,0.0,0.0,0.0,2026-05
LAN2702,Extra,1907,0,0,0,0,0,0,0,2,9,2026-02-28,1.0,100.0,0.0,0.0,0.0,2026-05
LAN0303,Extra,449,0,0,449,449,0,0,0,2,10,2026-03-04,0.0,0.0,0.0,0.0,100.0,2026-05
C062026,Base,339083,193030,30225,39861,234351,6935,19966,26901,263,452,2026-02-07,0.30886833017284854,30.9,56.9,8.9,11.8,2026-06
IMPORTACAO1802,Extra,16495,16495,0,826,16495,0,0,0,12,65,2026-02-20,0.0,0.0,100.0,0.0,5.0,2026-06
EPA2302,Extra,5500,0,5500,0,5500,0,0,0,3,6,2026-02-24,0.0,0.0,0.0,100.0,0.0,2026-06
LAN0104,Extra,4794,0,0,0,0,1536,0,1536,24,20,2026-04-03,1.0,100.0,0.0,0.0,0.0,2026-06
EPA0804,Extra,4200,0,0,0,0,0,0,0,10,25,2026-04-10,1.0,100.0,0.0,0.0,0.0,2026-06
EPA1304,Extra,2078,0,0,0,0,0,0,0,1,3,2026-04-14,1.0,100.0,0.0,0.0,0.0,2026-06
LAN2403,Extra,2065,0,0,0,0,30,0,30,4,5,2026-03-26,1.0,100.0,0.0,0.0,0.0,2026-06
EPA2703,Extra,1134,0,0,0,0,0,0,0,1,4,2026-04-17,1.0,100.0,0.0,0.0,0.0,2026-06
EPA2303,Extra,196,0,0,0,0,0,0,0,1,3,2026-03-24,1.0,100.0,0.0,0.0,0.0,2026-06
C072026,Base,137051,0,0,0,0,21680,0,21680,134,218,2026-04-14,1.0,100.0,0.0,0.0,0.0,2026-07
LAN1504,Extra,4062,0,0,0,0,0,0,0,5,20,2026-04-16,1.0,100.0,0.0,0.0,0.0,2026-07
LAN0801,Extra,3906,60,0,0,60,783,0,783,43,41,2026-01-12,0.9846390168970814,98.5,1.5,0.0,0.0,2026-07
