snapshot_week,cycle_name,cycle_type,supplier_name,product_name,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,C022026,Base,DALOP,Easy Legging Feminino,1539,0,0,0,0,1539,0,1539,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,DALOP,Regata Intech Feminino,2509,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,DALOP,Regata Intech Masculino,3526,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,DDAL,Wingsuit Feminino,10253,0,0,73,1684,0,0,0,2026-02,0.8357553886667317,83.6,2026-02
2025-11-10,C022026,Base,FABIO,Core T-Shirt Masculino,5214,0,0,24,1475,0,0,0,2026-02,0.7171077867280399,71.7,2026-02
2025-11-10,C022026,Base,GOAT,Techsture Vest Feminino,383,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,"Ges Confecção, Comercio e Serviços  de Serigrafia LTDA",Core T-Shirt Masculino,6436,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,INDÚSTRIA TEXTIL BETILHA LTDA,Shorts Kyoto Feminino,2334,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,INTERTEXTIL,Calcinha Minimal Feminino,1000,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,INTERTEXTIL,Calcinha Safe Feminino,1000,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,INTERTEXTIL,Calcinha String Feminino,2000,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,LATINA,Structure Tank Feminino,1015,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,LUTESTIL,Cueca Boxer Comfort Simples Masculino,12398,0,0,0,0,12398,0,12398,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,MALHAS D'STEFANO,Spectrum Socks High 2.0,15970,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,MALHAS D'STEFANO,Spectrum Socks Low 2.0,18438,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,MALHAS D'STEFANO,Spectrum Socks Mid 2.0,16836,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,MAURA,Calça FutureForm Masculino,8765,0,0,281,416,0,0,0,2026-02,0.9525385054192812,95.3,2026-02
2025-11-10,C022026,Base,MAURA,Saia Midi Kyoto Feminino,540,0,0,83,540,0,0,0,2026-02,0.0,0.0,2026-02
2025-11-10,C022026,Base,MC & MC,Camisa FutureForm Feminino,1029,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,MC & MC,Camisa FutureForm Masculino,1249,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,NATURAL COMPANY CONFECCOES LTDA,Camiseta Polo Core Masculino,1503,0,0,56,1002,0,0,0,2026-02,0.33333333333333337,33.3,2026-02
2025-11-10,C022026,Base,NOVA FORMULA,Camiseta Henley Core Masculino,2042,2042,0,313,2042,0,0,0,2026-02,0.0,0.0,2026-02
2025-11-10,C022026,Base,PIXIE,Maxi Saia NYIN Feminino,5781,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,RDM,Calcinha Safe Feminino,3600,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,RDM,The Perfect Top Feminino,5000,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,RIZLLEP,Daily T-shirt Masculino,4567,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C032026,Base,ABBA,Camiseta Henley Core Masculino,1500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ABBA,Camiseta Polo Core Masculino,5500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ABBA,Core T-Shirt Masculino,2500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Daily T-shirt Feminino,1500,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Daily T-shirt Masculino,22712,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Gola U Feminino,6145,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Gola V Feminino,4000,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
2025-11-10,C032026,Base,ART LIVRE,Tech T-shirt Gola V Masculino,5671,0,0,0,0,0,0,0,2026-03,1.0,100.0,2026-03
